State,District,PC Code,Biometrics verification of farmers,Procurement Center board/Banner,Drinking water facility,Toilet facility,Help Desk,Administrative building,Drainage,Quality Check Room,,Kutcha Floor,Kutcha Floor with Tarpaulin,Brick Flooring,Cement Floor,Not performed,Manual scale without Calibaration Certificate,Manual scale with Calibaration Certificate,Digital Weighing scale without calibration certificate,Digital Weighing scale with calibration certificate,Weighbridge,Not Available,Electricity Connection/Grid energy,Generator,Not available,MSP,Procurement Center operation days and timings,Quality specifications,Duties of Procurement Center officials,Contact details of the officials,Contact details for grievance redressal,List of token generated farmers
Odisha,BALASORE,S1020208,1,1,1,1,0,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020209,1,1,0,0,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020211,1,1,1,0,0,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0
Odisha,BALASORE,S1020213,1,1,1,1,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Odisha,BALASORE,S1020216,1,1,1,1,0,1,0,0,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020301,1,1,1,1,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020302,1,0,1,1,0,1,0,0,,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,BALASORE,S1020303,1,1,1,1,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020304,1,1,1,1,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020305,1,1,1,1,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020306,1,1,1,1,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020307,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020308,1,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020309,1,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020311,1,1,1,0,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020401,1,1,1,1,0,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0
Odisha,BALASORE,S1020402,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020403,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020405,1,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020407,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020409,1,1,1,1,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Odisha,BALASORE,S1020410,1,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020411,1,0,1,1,1,1,0,0,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,BALASORE,S1020412,1,1,1,1,1,1,1,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020414,1,0,1,1,0,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,BALASORE,S1020416,1,1,1,1,1,1,1,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020417,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020418,1,1,1,1,1,1,1,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020419,1,0,1,1,1,1,1,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,BALASORE,S1020501,1,1,1,1,0,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020502,1,1,1,1,1,1,1,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020503,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020504,1,1,1,1,0,1,0,0,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020505,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020506,1,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020507,1,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020508,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020509,1,1,1,1,1,1,0,1,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020511,1,1,1,1,0,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020512,1,1,1,0,1,1,0,0,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0
Odisha,BALASORE,S1020513,1,1,1,0,0,1,0,0,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020514,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020515,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020516,1,1,1,0,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020520,1,0,1,1,1,1,0,0,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,BALASORE,S1020901,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020904,1,1,1,0,0,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020907,1,1,1,0,0,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020908,1,1,1,1,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1020909,1,1,1,1,1,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0
Odisha,BALASORE,S1020910,1,1,1,0,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0
Odisha,BALASORE,S1020911,1,1,1,0,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1021002,1,1,0,0,1,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0
Odisha,BALASORE,S1021003,1,1,1,1,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0
Odisha,BALASORE,S1021007,1,1,1,1,0,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1021008,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1021009,1,1,1,1,0,1,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Odisha,BALASORE,S1021010,1,0,1,0,0,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Odisha,BALASORE,S1021013,1,1,1,0,1,1,0,0,,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0
